Blog	kids	golden	catchy	therefore	travel	fit	songwriter	effects	needed	friend	feeling	mouth	singer	saying	rich	lots	nature	dave	split	crowd	bottom	role	roll	minute	working	originally	following	didn	seriously	internet	wrong	turned	west	formed	photos	former	pull	dirty	small	past	hasn	full	november	experience	followed	door	company	learn	huge	paper	scott	roots	self	singles	sometimes	project	parents	couple	chorus	influence	makes	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	hand	musical	thanks	born	available	turns	gun	guy	extra	lounge	kurt	brain	non	drop	yeah	tried	tomorrow	caught	vocals	verse	gonna	fully	start	stars	poor	month	streets	learned	tracks	ask	almost	evening	heavy	american	grey	albums	feels	culture	close	pictures	missing	forgotten	lived	lives	smart	grand	friends	obviously	popular	e	wave	telling	michael	ryan	camera	meet	including	special	sitting	times	probably	hits	tuesday	party	http	lost	lose	north	beats	star	stay	sorry	likely	men	met	recordings	fantastic	room	amazing	third	personal	ears	tiny	seven	yes	yet	save	deal	dead	magazine	journey	weekend	happening	father	round	okay	filled	box	boy	bob	visit	fuck	interesting	performance	morning	wonder	label	enough	across	august	tour	among	wake	images	each	saturday	u	hour	needs	coming	point	century	cut	absolutely	epic	planet	entire	talent	closing	y	despite	however	johnny	hair	school	blue	leaves	excellent	drummer	alex	bridge	hopefully	news	n	sings	gave	stuck	setting	picture	level	posts	goes	andy	figure	turn	sure	later	jazz	quiet	featuring	direction	andrew	spirit	case	without	moon	list	sun	version	flat	rather	short	clouds	hill	friday	story	store	king	electric	wrote	solo	attention	sweet	questions	range	nick	nice	include	melodies	folk	leaving	edit	g	unknown	why	fear	feat	bought	joy	job	april	perhaps	promise	incredible	hurt	machine	wind	wasn	listen	person	released	theme	unfortunately	fair	child	possible	possibly	unique	steps	energy	happy	team	current	bloody	winter	spot	date	records	prince	future	guitar	pop	went	industry	act	image	gone	original	section	hours	pick	action	keeping	beautiful	sense	station	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	set	sex	sea	whole	synth	fire	funny	recent	anything	link	line	mood	miles	bird	led	standing	doubt	animal	kiss	david	clearly	hope	edition	drum	co	cd	colour	moments	appeared	stage	sister	official	francisco	ii	green	somewhere	dj	de	com	voice	kept	fight	together	p	change	december	remember	cold	half	hall	entirely	el	en	ex	ep	space	shows	size	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	expect	describe	moved	strong	ahead	musically	food	neil	robert	since	bass	towards	pretty	kind	during	won	genre	liked	wait	else	used	march	run	seeing	himself	doesn	depth	download	attack	ben	bed	anyway	written	sold	addition	kick	sonic	ha	recommend	type	tell	give	somewhat	acoustic	surprise	isn	loud	hook	girls	matter	points	stop	near	shame	www	normal	form	classic	shit	felt	fell	string	effort	growing	crazy	pink	sunday	guys	grow	maybe	vinyl	question	pain	paid	behind	reading	jr	margin	middle	same	totally
MarkEOrtega's Journalism Portfolio	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	4	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	1	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	4	0	0	1	0	0	0	1	0	0	0	3	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	1	0	2	3	0	0	0	5	1	3	1	1	0	0	2	2	0	0	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	5	2	0	1	0	10	1	2	1	0	0	0	0	2	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	3	6	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	0	9	0	0	0	0	4	0	0	0	0	1	2	0	0	0	24	0	0	0	0	0	0	0	2	1	0	0	0	1	4	1	0	2	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	13	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	1	0	4	0	0	0	0
Green Eggs and Ham Mondays 8-10am	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	2	5	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	1	2	0	1	1	0	2	5	1	0	0	0	0	1	0	0	0	1	3	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	10	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0	4	0	0	7	0	0	2	0	0	0	1	9	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	5	0	0	2	1	1	2	4	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	1	2	0	1	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	1	0
GLI Press	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	1	1	4	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	2	0	0	0	0	2	0
turnitup!	1	1	0	0	0	0	0	0	1	0	2	1	2	0	2	0	0	2	1	1	0	0	1	2	1	1	0	3	0	1	3	3	0	0	0	0	2	1	2	1	0	11	1	1	2	1	0	2	0	0	0	3	2	4	7	1	0	3	1	0	8	0	0	1	5	0	0	0	2	0	0	0	0	0	4	1	2	0	0	2	6	1	0	0	0	1	4	0	1	0	11	2	0	1	1	0	5	1	0	0	1	1	1	0	1	0	0	3	0	1	0	6	0	1	1	1	0	8	1	1	0	0	4	0	7	1	1	0	0	0	1	1	1	2	0	2	0	2	0	2	0	4	1	0	1	2	0	2	6	2	2	0	1	0	4	1	0	0	0	4	1	1	1	0	0	0	5	0	1	1	2	1	0	4	2	0	0	5	0	0	1	2	1	1	0	0	0	3	5	0	0	0	2	5	2	1	7	1	1	0	0	0	0	2	0	2	1	2	3	1	0	3	0	0	0	0	0	0	5	2	0	1	0	3	5	0	0	0	0	0	0	1	1	2	4	0	0	0	0	0	1	0	0	4	4	6	2	1	0	0	0	0	1	5	5	4	2	2	0	0	3	0	0	0	2	0	0	1	0	0	3	3	0	1	1	0	0	2	1	0	0	0	2	1	0	0	0	0	1	0	1	3	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	3	0	5	17	2	0	0	0	7	1	1	1	0	1	0	5	4	0	0	1	1	0	0	2	0	1	0	0	2	0	3	1	0	1	1	2	1	0	0	1	2	0	4	0	0	0	0	0	0	1	2	0	2	0	2	0	2	2	1	0	0	0	0	0	0	1	2	1	1	1	1	0	1	1	0	1	1	2	0	1	1	1	2	0	0	0	1	2	0	0	0	0	5	0	0	1	6	1	0	1	0	0	0	0	0	1	2	0	1	1	1	2	1	0	0	7	1	3	2	0	1	3	0	0	3	1	2	2	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	6	0	0	2	1	2	3	1	0	0	2	0	0	0	0	3	10	1	0	0	1	0	0	0	1	0	2	1	1	0	2	1	1	0	0	0	0	1	8	0
Stories From the City, Stories From the Sea	1	1	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	1	0	1	0	0	8	0	1	1	0	1	0	3	0	0	0	2	2	0	0	12	0	0	1	0	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	4	2	0	0	0	0	1	0	0	7	0	0	9	0	0	1	1	0	0	0	0	0	2	0	0	0	2	7	3	0	0	0	4	2	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	1	3	0	1	0	0	0	0	13	0	0	1	0	0	3	0	0	1	1	1	0	0	1	0	0	3	4	0	1	0	0	2	0	0	0	0	0	0	0	24	1	0	4	0	1	14	0	2	0	0	0	1	1	4	0	0	0	0	2	0	0	0	5	0	0	1	0	0	0	0	0	1	3	0	2	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	2	2	1	7	3	0	27	0	1	0	1	0	0	0	1	8	0	0	0	0	0	1	0	1	7	0	0	0	0	0	5	1	0	2	3	0	0	0	4	4	0	9	0	0	0	1	1	0	0	0	0	0	0	5	0	2	0	2	1	0	0	0	1	0	0	2	5	1	24	8	3	3	1	0	0	0	0	2	4	3	2	0	9	0	0	0	0	1	4	0	1	1	0	0	0	0	3	0	0	1	0	2	7	3	0	8	9	11	0	0	0	5	2	0	0	1	1	3	1	0	6	0	0	1	3	1	0	1	1	0	0	0	0	3	2	0	0	3	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	6	1	1	2	0	2	0	1	0	0	0	0	0	0	2	1
Lost in the Shuffle	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	5	0	0	1	5	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	1	2	0	0	2	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	3	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	6	25	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	2	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0	0	5	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	2	0	5	1	3	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	2	0	0	1	0	0	3	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0
A H T A P O T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floorshime Zipper Boots	0	0	3	0	0	0	5	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	2	0	0	0	0	1	0	3	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	2	5	0	2	0	0	0	0	3	0	0	0	2	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	31	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	5	1	0	3	0	0	0	0	1	0	0	0	0	2	0	0	1	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	4	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	0	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	8	0	1	2	5	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	20	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	5	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	2	6	0	0	1	0	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	2
How to be an artist and still pass for normal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Interstellar Radio Shower	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
adrianoblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
funky little demons	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	3	1	3	1	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	2	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0
